Car Make,Car Model,Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD)
Porsche,911,2022,3,379,331.0,4.0,101200
Lamborghini,Huracan,2021,5.2,630,443.0,2.8,274390
Ferrari,488 GTB,2022,3.9,661,561.0,3.0,333750
Audi,R8,2022,5.2,562,406.0,3.2,142700
McLaren,720S,2021,4,710,568.0,2.7,298000
BMW,M8,2022,4.4,617,553.0,3.1,130000
Mercedes-Benz,AMG GT,2021,4,523,494.0,3.8,118500
Chevrolet,Corvette,2021,6.2,490,465.0,2.8,59900
Ford,Mustang Shelby GT500,2022,5.2,760,625.0,3.5,81000
Nissan,GT-R Nismo,2021,3.8,600,481.0,2.5,212000
Aston Martin,DB11,2021,5.2,630,516.0,3.5,201495
Bugatti,Chiron,2021,8,1500,1180.0,2.4,3000000
Dodge,Challenger SRT Hellcat,2022,6.2,717,656.0,3.5,61000
Jaguar,F-Type,2022,3,296,295.0,5.4,70100
Koenigsegg,Jesko,2021,5,1280,1015.0,2.5,2800000
Lexus,LC 500,2021,5,471,398.0,4.4,92950
Lotus,Evora GT,2021,3.5,416,317.0,3.8,104450
Maserati,GranTurismo,2021,4.7,454,384.0,4.8,150000
Porsche,Boxster,2021,2,300,280.0,4.7,62000
Alfa Romeo,Giulia Quadrifoglio,2022,2.9,505,443.0,3.8,78000
Ariel,Atom,2021,2,320,243.0,2.8,75000
Bentley,Continental GT,2021,6,626,664.0,3.6,225000
McLaren,Artura,2022,3,671,531.0,3.0,225000
Mercedes-AMG,SLS AMG,2021,6.2,622,468.0,3.5,248000
Pagani,Huayra,2021,6,720,737.0,2.8,2800000
Polestar,1,2021,2,600,738.0,4.1,155000
Rimac,Nevera,2022,Electric,1914,1696.0,1.85,2400000
Porsche,Cayman GT4,2022,4,414,309.0,3.8,100200
Lamborghini,Aventador SVJ,2021,6.5,759,531.0,2.8,517770
Ferrari,SF90 Stradale,2021,4,986,590.0,2.5,625000
Audi,RS7,2022,4,591,590.0,3.5,117000
McLaren,Artura,2021,3,671,531.0,3.0,225000
BMW,M4,2022,3,503,479.0,3.8,72800
Mercedes-Benz,SLS AMG,2015,6.2,622,468.0,3.2,222000
Chevrolet,Camaro ZL1,2021,6.2,650,650.0,3.5,64695
Ford,GT,2022,3.5,660,550.0,3.0,500000
Nissan,370Z Nismo,2021,3.7,350,276.0,4.5,45690
Porsche,Taycan 4S,2022,Electric Motor,562,479.0,3.8,104000
Lamborghini,Urus,2021,4,641,626.0,3.5,218000
Ferrari,Roma,2021,3.9,611,561.0,3.3,222000
Audi,RS3,2022,2.5,394,369.0,3.9,57000
McLaren,GT,2021,4,612,465.0,3.1,210000
BMW,i8,2020,1.5 + Electric,369,420.0,4.2,148500
Mercedes-Benz,CLS63 AMG,2019,4,603,627.0,3.4,132000
Porsche,Cayman,2021,2,300,280.0,5.1,58900
McLaren,570S,2021,3.8,562,443.0,2.8,192500
Mercedes-Benz,AMG C63,2021,4,503,516.0,3.8,68000
Chevrolet,Camaro SS,2021,6.2,455,455.0,4.1,42500
Ford,Mustang GT,2022,5,460,420.0,4.3,39000
Aston Martin,Vantage,2021,4,503,505.0,3.5,142100
Porsche,Panamera,2021,2.9,325,331.0,5.1,87200
Audi,S5,2022,3,349,369.0,4.4,52500
McLaren,600LT,2021,3.8,592,457.0,2.8,241000
BMW,M5,2022,4.4,600,553.0,3.2,103500
Aston Martin,Vantage,2022,4,503,505.0,3.5,146000
Audi,RS5,2021,2.9,444,443.0,3.6,75400
BMW,M2,2022,3,405,406.0,4.0,58900
Dodge,Challenger SRT Hellcat Redeye,2022,6.2,797,707.0,3.4,78595
Ford,GT,2021,3.5,660,550.0,3.0,500000
Lamborghini,Aventador,2021,6.5,770,531.0,2.9,417826
Mercedes-Benz,C63 AMG,2021,4,503,516.0,3.8,70100
Nissan,370Z,2021,3.7,332,270.0,5.0,30090
Porsche,Panamera,2022,2.9,325,331.0,5.3,88700
Audi,TT RS,2021,2.5,394,354.0,3.6,67600
Chevrolet,Corvette Stingray,2021,6.2,490,465.0,2.8,59900
Ferrari,F8 Tributo,2021,3.9,710,568.0,2.8,274280
Ford,Mustang Mach 1,2021,5,480,420.0,4.3,52915
Porsche,718 Cayman,2022,2,300,280.0,4.5,61000
Acura,NSX,2022,3.5,573,476.0,2.9,159495
Bugatti,Chiron,2022,8,1500,1180.0,2.4,3000000
Koenigsegg,Jesko,2022,5,1600,1106.0,2.5,3000000
Lexus,LC 500,2022,5,471,398.0,4.4,92950
Maserati,GranTurismo,2022,4.7,454,384.0,4.7,134300
Mazda,MX-5 Miata,2021,2,181,151.0,6.5,26830
McLaren,GT,2022,4,620,465.0,3.1,213195
Pagani,Huayra,2022,6,764,738.0,2.8,2800000
Porsche,718 Cayman GT4,2022,4,414,309.0,4.2,100550
Rolls-Royce,Wraith,2021,6.8,624,605.0,4.4,330000
Toyota,Supra,2022,3,382,368.0,3.9,43090
W Motors,Fenyr Supersport,2022,3.8,800,723.0,2.7,1700000
Audi,TT RS,2022,2.5,394,354.0,3.4,67000
Mercedes-Benz,SL 63 AMG,2021,4,603,664.0,3.5,155000
Aston Martin,DBS Superleggera,2021,5.2,715,664.0,3.4,304995
Porsche,Panamera Turbo S E-Hybrid,2021,4,690,642.0,3.2,190000
Audi,RS7,2021,4,591,590.0,3.5,115000
Mercedes-Benz,SLS AMG,2021,6.2,622,468.0,3.7,239100
Dodge,Challenger SRT Hellcat,2021,6.2,717,656.0,3.5,65290
Ferrari,Portofino,2021,3.9,592,560.0,3.5,219750
Porsche,Panamera Turbo S,2022,4,620,604.0,2.9,187700
Porsche,Cayman,2022,2.5,365,309.0,4.5,68900
Ferrari,F8 Tributo,2022,3.9,710,568.0,2.9,276550
BMW,Z4 M40i,2022,3,382,369.0,3.9,63700
Chevrolet,Camaro SS,2022,6.2,455,455.0,4.1,44000
Audi,RS 3,2022,2.5,401,369.0,3.6,56200
BMW,M2 CS,2022,3,444,406.0,3.8,84595
Acura,NSX,2021,3.5,573,476.0,2.7,157500
Aston Martin,DB11,2022,4,503,513.0,3.7,204100
Dodge,Viper,2017,8.4,645,600.0,3.3,120000
Maserati,GranTurismo,2020,4.7,454,384.0,4.8,150000
McLaren,570S,2020,3.8,562,443.0,3.1,204550
Pagani,Huayra,2020,6,720,738.0,3.0,2700000
Rimac,C_Two,2022,,1914,1696.0,1.9,2400000
Shelby,Cobra,1965,7,435,440.0,4.2,1000000
Toyota,GR Supra,2022,3,382,368.0,3.9,43090
TVR,Griffith,2022,5,500,479.0,3.8,123500
W Motors,Lykan Hypersport,2015,3.7,780,708.0,2.8,3400000
Porsche,718 Cayman,2021,2,300,280.0,4.5,61500
Ferrari,SF90 Stradale,2022,4,986,590.0,2.5,507000
Audi,RS 6,2021,4,591,590.0,3.5,109000
Porsche,Taycan,2021,Electric,750,774.0,2.6,185000
Mercedes-Benz,AMG C 63,2021,4,469,479.0,3.9,69900
Porsche,Taycan,2022,2,402,254.0,5.1,81250
Aston Martin,DBS Superleggera,2022,5.2,715,663.0,3.4,330000
Audi,RS 6 Avant,2021,4,591,590.0,3.5,109000
Mercedes-AMG,C 63 S Coupe,2022,4,503,516.0,3.7,77000
Audi,RS 7,2021,4,591,590.0,3.5,114000
Porsche,Panamera Turbo S,2021,4,620,604.0,2.9,177700
Lamborghini,Aventador S,2021,6.5,729,509.0,2.9,417650
BMW,M2 Competition,2022,3,405,406.0,4.0,59895
Mercedes-Benz,S63 AMG,2021,4,603,664.0,3.4,152500
Porsche,Taycan Turbo S,2021,,750,774.0,2.6,185000
Ferrari,812 Superfast,2021,6.5,789,530.0,2.9,363730
Audi,R8 Spyder,2022,5.2,562,406.0,3.5,183300
Mercedes-Benz,AMG GT R,2021,4,577,516.0,3.5,183000
Bentley,Continental GT,2022,6,626,664.0,3.5,203825
Jaguar,F-Type R,2021,5,575,516.0,3.5,103200
Porsche,Cayman GT4,2021,4,414,309.0,4.2,100200
Alfa Romeo,4C,2020,1.7,237,258.0,4.1,67150
Audi,RS5,2022,2.9,444,443.0,3.7,77250
BMW,M2 Competition,2021,3,405,406.0,4.0,58900
Dodge,Charger SRT Hellcat,2022,6.2,717,650.0,3.6,71490
Rolls-Royce,Wraith,2022,6.8,624,605.0,4.4,330000
Subaru,WRX STI,2021,2.5,310,290.0,4.6,38170
Ferrari,Portofino,2022,3.9,591,413.0,3.3,218750
Porsche,Panamera Turbo,2022,4,620,604.0,3.1,174300
Audi,RS 5 Coupe,2021,2.9,444,443.0,3.7,75100
Lotus,Evora GT,2022,3.5,416,317.0,3.8,105000
Mercedes-Benz,SLS AMG Black Series,2014,6.2,622,468.0,3.5,275000
Lamborghini,Aventador SVJ,2020,6.5,770,531.0,2.8,573966
Pagani,Huayra Roadster BC,2021,6,791,774.0,2.5,3500000
Pininfarina,Battista,2022,Electric,1874,1696.0,1.9,2500000
Kia,Stinger,2022,3.3,368,376.0,4.7,52200
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505,443.0,3.8,76400
Chevrolet,Camaro ZL1,2022,6.2,650,650.0,3.5,69000
Tesla,Model S,2022,Electric,1020,1050.0,1.98,119000
Audi,RS 7,2022,4,591,590.0,3.5,114000
Jaguar,F-Type,2021,5,575,516.0,3.5,103200
McLaren,765LT,2021,4,755,590.0,2.8,358000
Dodge,Challenger Hellcat Redeye,2022,6.2,797,707.0,3.4,82190
Lotus,Evora,2021,3.5,416,317.0,3.8,96950
Dodge,Challenger Hellcat,2022,6.2,717,656.0,3.5,67500
Lexus,LC,2021,5,471,398.0,4.4,92950
Mercedes-Benz,AMG C63,2022,4,503,516.0,3.8,69900
Pagani,Huayra BC,2021,6,791,774.0,2.7,2600000
Dodge,Challenger SRT Hellcat Redeye,2021,6.2,797,707.0,3.5,73000
Jaguar,F-Type R,2022,5,575,516.0,3.5,103200
Tesla,Roadster,2023,Electric,1341,737.0,1.9,200000
Alpine,A110,2021,1.8,288,236.0,4.4,71500
BMW,M4,2021,3,473,406.0,4.1,71800
Mercedes-AMG,C 63 S,2022,4,503,516.0,3.7,81550
McLaren,570S,2022,3.8,562,443.0,2.9,204550
Audi,RS 5,2021,2.9,444,443.0,3.5,75100
Dodge,Viper ACR,2017,8.4,645,600.0,3.3,126190
Audi,RS7 Sportback,2022,4,591,590.0,3.5,115045
BMW,M4 Competition,2021,3,503,479.0,3.9,75695
Dodge,Charger Hellcat,2021,6.2,717,650.0,3.6,71490
Koenigsegg,Jesko Absolut,2022,5,1600,1106.0,2.1,2800000
Lotus,Evija,2022,Electric,1973,1254.0,2.5,2750000
Mercedes-Benz,AMG GT Black Series,2021,4,720,590.0,3.2,326050
McLaren,600LT Spider,2021,3.8,592,457.0,2.8,256500
Mercedes-Benz,AMG C 63,2022,4,503,516.0,3.8,70000
Chevrolet,Camaro SS 1LE,2021,6.2,455,455.0,4.0,44500
McLaren,Speedtail,2021,4,1035,848.0,2.5,2300000
Lamborghini,Sián,2021,6.5,819,531.0,2.8,3600000
Rimac,C_Two,2021,Electric,1914,1732.0,1.8,2400000
Audi,RS 5,2022,2.9,444,443.0,3.7,75100
Mercedes-Benz,SLC 43,2020,3,385,384.0,4.6,62000
Nissan,370Z Nismo,2020,3.7,350,276.0,4.6,45790
Porsche,718 Boxster,2022,2,300,280.0,4.9,62000
Ferrari,F8 Spider,2021,3.9,710,568.0,2.9,280000
Lotus,Evora GT,2020,3.5,416,317.0,3.8,96950
Maserati,GranTurismo,2019,4.7,454,384.0,4.7,150980
Alfa Romeo,4C Spider,2020,1.7,237,258.0,4.1,67150
Audi,RS5 Coupe,2022,2.9,444,443.0,3.7,76450
Mercedes-AMG,C63 S Coupe,2021,4,503,516.0,3.7,77950
Porsche,718 Boxster,2021,2,300,280.0,4.9,62000
Audi,TT RS Coupe,2021,2.5,394,354.0,3.6,67600
BMW,M4 Coupe,2021,3,473,406.0,3.8,71800
Tesla,Model S Plaid,2021,Electric,1020,1050.0,1.9,141990
TVR,Griffith,2021,5,500,420.0,3.9,157500
Ultima,RS,2021,6.2,1200,1300.0,2.3,220000
W Motors,Fenyr SuperSport,2022,3.8,800,723.0,2.7,1550000
Tesla,Model S Plaid,2022,Electric,1020,1050.0,1.98,140000
Subaru,WRX STI,2022,2.5,310,290.0,5.2,38170
Bugatti,Chiron Super Sport 300+,2022,8,1578,1180.0,2.3,5200000
McLaren,Senna,2020,4,789,590.0,2.7,1500000
Porsche,Taycan Turbo S,2022,Electric,750,774.0,2.6,185000
Audi,RS 7 Sportback,2022,4,591,590.0,3.5,114000
Lamborghini,Aventador,2022,6.5,770,531.0,2.8,393695
Lamborghini,Aventador S,2022,6.5,729,507.0,2.9,460247
Audi,RS 6 Avant,2022,4,591,590.0,3.1,110045
Mercedes-Benz,AMG C 63 S,2021,4,503,516.0,3.7,77400
Chevrolet,Corvette Z06,2023,5.5,625,650.0,2.6,85000
Lamborghini,Urus,2022,4,641,626.0,3.2,218009
Mercedes-Benz,AMG GT 63 S,2021,4,630,664.0,3.1,162900
Ferrari,Portofino M,2022,3.9,612,560.0,3.5,245000
BMW,M5,2021,4.4,600,553.0,3.2,103500
Dodge,Challenger Hellcat,2021,6.2,717,656.0,3.5,70595
Mercedes-Benz,SL,2022,3,429,384.0,4.9,96250
Chevrolet,Camaro,2021,6.2,455,455.0,4.0,25000
Audi,RS 6,2022,4,591,590.0,3.5,109000
Porsche,Taycan 4S,2021,Electric (93 kWh),429,472.0,3.8,103800
Rolls-Royce,Dawn,2021,6.6,563,605.0,4.3,346300
Bugatti,Chiron Pur Sport,2021,8,1500,1180.0,2.3,3599000
McLaren,Senna,2019,4,789,590.0,2.7,1050000
Mercedes-AMG,GT Black Series,2021,4,720,590.0,3.1,325000
Nissan,400Z,2023,3,400,350.0,4.0,40000
Rimac,Nevera,2021,Electric,1914,1696.0,1.9,2400000
Toyota,Supra,2021,3,382,368.0,3.9,43000
Ferrari,Roma,2022,3.9,612,560.0,3.3,222630
Audi,RS6,2022,4,591,590.0,3.5,113000
Mercedes-Benz,GT 63,2021,4,577,590.0,3.3,161200
McLaren,Senna,2021,4,789,590.0,2.7,1000000
Porsche,918 Spyder,2015,4.6,887,944.0,2.2,1800000
Bentley,Continental GT Speed,2022,6,650,664.0,3.5,300000
Porsche,Boxster,2022,2,300,280.0,4.9,63000
Chevrolet,Camaro,2022,6.2,455,455.0,4.0,62195
Dodge,Challenger,2022,3.6,305,268.0,6.4,28000
BMW,i8,2022,1.5,369,184.0,4.2,147500
Porsche,911 Turbo S,2022,3.8,640,590.0,2.6,208000
BMW,M5 Competition,2022,4.4,617,553.0,3.1,103500
Audi,RS6 Avant,2021,4,591,590.0,3.5,109000
Ferrari,Portofino M,2021,3.9,612,561.0,3.4,235000
Mercedes-Benz,SLS AMG Black Series,2021,6.2,622,468.0,3.5,335000
Audi,TT RS Coupe,2022,2.5,394,354.0,3.5,68000
McLaren,GT,2020,4,612,465.0,3.1,210000
BMW,Z4 Roadster,2022,2,255,295.0,5.2,50000
Chevrolet,Camaro SS Convertible,2022,6.2,455,455.0,4.0,49000
Nissan,370Z Coupe,2020,3.7,332,270.0,5.0,30090
Mercedes-AMG,GT 63 S,2021,4,630,664.0,3.1,162000
McLaren,570S Spider,2020,3.8,562,443.0,3.1,208800
Mercedes-Benz,C 63 AMG,2022,4,469,479.0,3.9,69000
Dodge,Challenger R/T,2021,5.7,372,400.0,5.1,35000
Tesla,Roadster,2022,Electric,1000,737.0,1.9,200000
Bugatti,Chiron Super Sport 300+,2021,8,1578,1180.0,2.4,5200000
Audi,RS 7 Sportback,2021,4,591,590.0,3.5,114000
BMW,M4 Competition,2022,3,503,479.0,3.8,74700
Mercedes-Benz,C63 S AMG,2022,4,503,516.0,3.9,77600
Mercedes-Benz,AMG C43 Coupe,2021,3,385,384.0,4.5,59900
Mercedes-Benz,AMG A45,2021,2,382,354.0,4.0,50000
Lotus,Evija,2021,Electric,2000,1254.0,2.8,2800000
Rolls-Royce,Ghost,2021,6.8,563,627.0,4.6,332500
Dodge,Charger,2021,6.2,797,707.0,3.3,72000
Ferrari,F8 Spider,2022,3.9,710,568.0,2.9,274390
Dodge,Challenger,2021,6.4,485,475.0,3.8,62000
Porsche,Panamera GTS,2021,4,473,457.0,3.9,134150
Mercedes-Benz,AMG GT 4-Door Coupe,2021,4,630,664.0,3.1,171200
Mercedes-AMG,C63 S,2022,4,503,516.0,3.7,78100
Pininfarina,Battista,2021,Electric,1872,1696.0,1.9,2500000
Maserati,MC20,2021,3,621,538.0,2.9,210000
BMW,M2,2021,3,405,406.0,4.0,58900
Ford,Mustang,2021,2.3,310,350.0,5.3,27205
